"TABLE_TYPE","dbms","TABLE_CATALOG","TABLE_SCHEMA","TABLE_NAME","COLUMN_NAME","ORDINAL_POSITION","DATA_TYPE","CHARACTER_MAXIMUM_LENGTH","CONSTRAINT_TYPE","TABLE_SCHEMA1","TABLE_NAME1","COLUMN_NAME1"
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_SITE_CT","__$update_mask","5","varbinary","128","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_SITE_CT","ROWID","6","int","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_SITE_CT","ACCOUNT_ID","7","nvarchar","30","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_SITE_CT","SITE_ID","8","nvarchar","15","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_SITE_CT","IS_VIEWABLE","9","nchar","1","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_SITE_CT","__$command_id","10","int","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CO_PRODUCT_CT","__$start_lsn","1","binary","10","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CO_PRODUCT_CT","__$end_lsn","2","binary","10","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CO_PRODUCT_CT","__$seqval","3","binary","10","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CO_PRODUCT_CT","__$operation","4","int","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CO_PRODUCT_CT","__$update_mask","5","varbinary","128","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CO_PRODUCT_CT","ROWID","6","int","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CO_PRODUCT_CT","WORKORDER_TYPE","7","nchar","1","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CO_PRODUCT_CT","WORKORDER_BASE_ID","8","nvarchar","30","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CO_PRODUCT_CT","WORKORDER_LOT_ID","9","nvarchar","3","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CO_PRODUCT_CT","WORKORDER_SPLIT_ID","10","nvarchar","3","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CO_PRODUCT_CT","WORKORDER_SUB_ID","11","nvarchar","3","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CO_PRODUCT_CT","PART_ID","12","nvarchar","30","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CO_PRODUCT_CT","MAT_COST_PERCENT","13","decimal","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CO_PRODUCT_CT","DESIRED_QTY","14","decimal","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CO_PRODUCT_CT","RECEIVED_QTY","15","decimal","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CO_PRODUCT_CT","LINE_STATUS","16","nchar","1","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CO_PRODUCT_CT","LAB_COST_PERCENT","17","decimal","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CO_PRODUCT_CT","BUR_COST_PERCENT","18","decimal","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CO_PRODUCT_CT","SER_COST_PERCENT","19","decimal","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CO_PRODUCT_CT","WAREHOUSE_ID","20","nvarchar","15","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CO_PRODUCT_CT","WIP_VAS_REQUIRED","21","nchar","1","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CO_PRODUCT_CT","ALLOCATED_QTY","22","decimal","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CO_PRODUCT_CT","FULFILLED_QTY","23","decimal","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CO_PRODUCT_CT","QTY_IS_RATIO","24","nchar","1","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CO_PRODUCT_CT","QTY_PER","25","decimal","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CO_PRODUCT_CT","STATUS_EFF_DATE","26","datetime","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CO_PRODUCT_CT","__$command_id","27","int","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","__$start_lsn","1","binary","10","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","__$end_lsn","2","binary","10","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","__$seqval","3","binary","10","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","__$operation","4","int","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","__$update_mask","5","varbinary","128","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","ROWID","6","int","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","CUSTOMER_ID","7","nvarchar","15","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","ADDR_NO","8","int","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","NAME","9","nvarchar","50","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","ADDR_1","10","nvarchar","50","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","ADDR_2","11","nvarchar","50","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","ADDR_3","12","nvarchar","50","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","CITY","13","nvarchar","30","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","STATE","14","nvarchar","10","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","ZIPCODE","15","nvarchar","10","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","COUNTRY","16","nvarchar","50","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","CUST_ADDR_COUNTRY_ID","17","nvarchar","15","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","DEF_SLS_TAX_GRP_ID","18","nvarchar","15","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","TAX_ID_NUMBER","19","nvarchar","25","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","TAX_EXEMPT","20","nchar","1","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","SALESREP_ID","21","nvarchar","15","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","TERRITORY","22","nvarchar","15","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","SHIP_VIA","23","nvarchar","40","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","FREE_ON_BOARD","24","nvarchar","25","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","DISCOUNT_CODE","25","nvarchar","15","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","ARRIVAL_CODE","26","nvarchar","25","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","TRANS_CODE","27","nvarchar","25","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","COUNTRY_ID","28","nvarchar","15","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","NATURE_OF_TRANS","29","int","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","MODE_OF_TRANSPORT","30","int","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","SIRET_NUMBER","31","decimal","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","SHIPTO_ID","32","nvarchar","20","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","PRIORITY_CODE","33","nvarchar","15","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","FILL_RATE_TYPE","34","nchar","1","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","WAREHOUSE_ID","35","nvarchar","15","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","COMPLIANCE_LABEL","36","nchar","1","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","CONSOLIDATE_ORDERS","37","nchar","1","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","VAT_REGISTRATION","38","nvarchar","25","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","DEF_LBL_FORMAT_ID","39","nvarchar","30","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","CARRIER_ID","40","nvarchar","15","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","ORDER_FILL_RATE","41","decimal","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","LANGUAGE_ID","42","nvarchar","2","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","USER_1","43","nvarchar","80","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","USER_2","44","nvarchar","80","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","USER_3","45","nvarchar","80","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","USER_4","46","nvarchar","80","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","USER_5","47","nvarchar","80","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","USER_6","48","nvarchar","80","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","USER_7","49","nvarchar","80","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","USER_8","50","nvarchar","80","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","USER_9","51","nvarchar","80","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","USER_10","52","nvarchar","80","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","UDF_LAYOUT_ID","53","nvarchar","80","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","GENERATE_ASN","54","nvarchar","1","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","HOLD_TRANSFER_ASN","55","nvarchar","1","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","CUSTOMS_DOC_PRINT","56","nvarchar","1","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","SUPPRESS_AR_PRINT","57","nvarchar","1","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","ACCEPT_830","58","nvarchar","1","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","ACCEPT_862","59","nvarchar","1","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","POOL_POINT_ID","60","nvarchar","20","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","POOL_CODE","61","nvarchar","20","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","SUPPLIER_ID","62","nvarchar","20","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","DOCK_CODE_FIELD","63","nvarchar","20","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","DUTY_BROKERAGE","64","nvarchar","20","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","MATERIAL_ISSUER","65","nvarchar","20","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","TRANS_METHOD_CODE","66","nvarchar","20","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","EQUIPMENT_DESCR","67","nvarchar","20","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","LADING_CODE","68","nvarchar","20","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","MODEL_YEAR","69","nvarchar","20","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","HANDLING_ID","70","nvarchar","20","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","ALLOW_CHARGE_NO","71","nvarchar","20","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","NON_RETURN_CODE","72","nvarchar","20","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","MIXED_CODE","73","nvarchar","20","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","TRADING_PARTNER","74","nvarchar","20","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","TRANSIT_TIME","75","decimal","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","INTER_CONSIGNEE","76","nvarchar","20","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","CONSOL_SHIP_LINE","77","nchar","1","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","VAT_CODE","78","nvarchar","15","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","VAT_OVERRIDE_SEQ","79","nvarchar","1","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","PALLET_DETAILS_REQ","80","nchar","1","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","MATCH_INV_TO_PACK","81","nchar","1","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","GENERATE_WSA","82","nchar","1","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","HOLD_TRANSFER_WSA","83","nchar","1","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","PRICE_GROUP","84","nvarchar","15","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","ACTIVE_FLAG","85","nchar","1","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_ADDRESS_CT","__$command_id","86","int","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_BOOK_LINE_CT","__$start_lsn","1","binary","10","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_BOOK_LINE_CT","__$end_lsn","2","binary","10","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_BOOK_LINE_CT","__$seqval","3","binary","10","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_BOOK_LINE_CT","__$operation","4","int","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_BOOK_LINE_CT","__$update_mask","5","varbinary","128","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_BOOK_LINE_CT","ROWID","6","int","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_BOOK_LINE_CT","CUST_ORDER_ID","7","nvarchar","15","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_BOOK_LINE_CT","CUST_ORDER_LINE_NO","8","smallint","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_BOOK_LINE_CT","BOOK_DATE","9","datetime","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_BOOK_LINE_CT","PART_ID","10","nvarchar","30","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_BOOK_LINE_CT","ORDER_QTY","11","decimal","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_BOOK_LINE_CT","USER_ORDER_QTY","12","decimal","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_BOOK_LINE_CT","DESIRED_SHIP_DATE","13","datetime","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_BOOK_LINE_CT","TRADE_DISC_PERCENT","14","decimal","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_BOOK_LINE_CT","CREATE_DATE","15","datetime","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_BOOK_LINE_CT","USER_ID","16","nvarchar","20","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_BOOK_LINE_CT","UNIT_PRICE","17","decimal","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_BOOK_LINE_CT","EDI_BLANKET_QTY","18","decimal","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_BOOK_LINE_CT","EDI_RELEASE_NO","19","nvarchar","30","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_BOOK_LINE_CT","EDI_ACCUM_SHIP_QTY","20","decimal","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_BOOK_LINE_CT","EDI_ACCUM_FAB_QTY","21","decimal","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_BOOK_LINE_CT","EDI_ACCUM_RAW_QTY","22","decimal","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_BOOK_LINE_CT","EDI_ACCUM_SHIP_ADJ","23","decimal","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_BOOK_LINE_CT","EDI_ACCUM_ORD_ADJ","24","decimal","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_BOOK_LINE_CT","EDI_LAST_SHIPDATE","25","datetime","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_BOOK_LINE_CT","TOTAL_SHIPPED_QTY","26","decimal","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_BOOK_LINE_CT","TOTAL_USR_SHIP_QTY","27","decimal","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_BOOK_LINE_CT","ACTUAL_SHIP_DATE","28","datetime","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_BOOK_LINE_CT","REVISION_ID","29","nvarchar","8","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_BOOK_LINE_CT","SITE_ID","30","nvarchar","15","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_BOOK_LINE_CT","__$command_id","31","int","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_LINE_BINARY_CT","__$start_lsn","1","binary","10","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_LINE_BINARY_CT","__$end_lsn","2","binary","10","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_LINE_BINARY_CT","__$seqval","3","binary","10","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_CUST_LINE_BINARY_CT","__$operation","4","int","","","","",""
