equipment_id,line_id,equipment_type,equipment_name,measurement_date,availability_rate,performance_rate,quality_rate,oee_score,downtime_hours,created_date
3,1,CMM,CMM 1-3,2024-03-04,0.84,0.76,0.969,0.619,3.84,2024-03-04 00:00:00
3,1,CMM,CMM 1-3,2024-03-11,0.871,0.839,0.957,0.699,3.1,2024-03-11 00:00:00
3,1,CMM,CMM 1-3,2024-03-18,0.891,0.794,0.928,0.657,2.62,2024-03-18 00:00:00
3,1,CMM,CMM 1-3,2024-03-25,0.871,0.776,0.908,0.614,3.1,2024-03-25 00:00:00
3,1,CMM,CMM 1-3,2024-04-01,0.903,0.76,0.938,0.644,2.33,2024-04-01 00:00:00
3,1,CMM,CMM 1-3,2024-04-08,0.815,0.85,0.974,0.675,4.44,2024-04-08 00:00:00
3,1,CMM,CMM 1-3,2024-04-15,0.823,0.777,0.953,0.609,4.25,2024-04-15 00:00:00
3,1,CMM,CMM 1-3,2024-04-22,0.888,0.88,0.919,0.718,2.69,2024-04-22 00:00:00
3,1,CMM,CMM 1-3,2024-04-29,0.911,0.897,0.923,0.754,2.14,2024-04-29 00:00:00
3,1,CMM,CMM 1-3,2024-05-06,0.813,0.905,0.931,0.685,4.49,2024-05-06 00:00:00
3,1,CMM,CMM 1-3,2024-05-13,0.966,0.768,0.964,0.715,0.82,2024-05-13 00:00:00
3,1,CMM,CMM 1-3,2024-05-20,0.876,0.82,0.93,0.668,2.98,2024-05-20 00:00:00
3,1,CMM,CMM 1-3,2024-05-27,0.907,0.755,0.929,0.636,2.23,2024-05-27 00:00:00
3,1,CMM,CMM 1-3,2024-06-03,0.978,0.873,0.994,0.849,0.53,2024-06-03 00:00:00
3,1,CMM,CMM 1-3,2024-06-10,0.88,0.779,0.904,0.62,2.88,2024-06-10 00:00:00
3,1,CMM,CMM 1-3,2024-06-17,0.947,0.79,0.936,0.7,1.27,2024-06-17 00:00:00
3,1,CMM,CMM 1-3,2024-06-24,0.936,0.921,0.911,0.785,1.54,2024-06-24 00:00:00
3,1,CMM,CMM 1-3,2024-07-01,0.81,0.94,0.988,0.752,4.56,2024-07-01 00:00:00
3,1,CMM,CMM 1-3,2024-07-08,0.956,0.914,0.901,0.787,1.06,2024-07-08 00:00:00
3,1,CMM,CMM 1-3,2024-07-15,0.925,0.772,0.943,0.673,1.8,2024-07-15 00:00:00
3,1,CMM,CMM 1-3,2024-07-22,0.804,0.792,0.951,0.606,4.7,2024-07-22 00:00:00
3,1,CMM,CMM 1-3,2024-07-29,0.837,0.855,0.925,0.662,3.91,2024-07-29 00:00:00
3,1,CMM,CMM 1-3,2024-08-05,0.887,0.896,0.913,0.726,2.71,2024-08-05 00:00:00
3,1,CMM,CMM 1-3,2024-08-12,0.926,0.754,0.955,0.667,1.78,2024-08-12 00:00:00
3,1,CMM,CMM 1-3,2024-08-19,0.919,0.759,0.916,0.639,1.94,2024-08-19 00:00:00
3,1,CMM,CMM 1-3,2024-08-26,0.851,0.908,0.959,0.741,3.58,2024-08-26 00:00:00
3,1,CMM,CMM 1-3,2024-09-02,0.81,0.881,0.901,0.643,4.56,2024-09-02 00:00:00
3,1,CMM,CMM 1-3,2024-09-09,0.87,0.804,0.981,0.686,3.12,2024-09-09 00:00:00
3,1,CMM,CMM 1-3,2024-09-16,0.919,0.923,0.902,0.765,1.94,2024-09-16 00:00:00
3,1,CMM,CMM 1-3,2024-09-23,0.956,0.88,0.922,0.776,1.06,2024-09-23 00:00:00
3,1,CMM,CMM 1-3,2024-09-30,0.869,0.945,0.909,0.746,3.14,2024-09-30 00:00:00
3,1,CMM,CMM 1-3,2024-10-07,0.857,0.923,0.95,0.751,3.43,2024-10-07 00:00:00
3,1,CMM,CMM 1-3,2024-10-14,0.834,0.85,0.944,0.669,3.98,2024-10-14 00:00:00
3,1,CMM,CMM 1-3,2024-10-21,0.967,0.754,0.924,0.674,0.79,2024-10-21 00:00:00
3,1,CMM,CMM 1-3,2024-10-28,0.895,0.817,0.937,0.685,2.52,2024-10-28 00:00:00
3,1,CMM,CMM 1-3,2024-11-04,0.828,0.819,0.933,0.633,4.13,2024-11-04 00:00:00
3,1,CMM,CMM 1-3,2024-11-11,0.913,0.797,0.993,0.723,2.09,2024-11-11 00:00:00
3,1,CMM,CMM 1-3,2024-11-18,0.89,0.912,0.959,0.778,2.64,2024-11-18 00:00:00
3,1,CMM,CMM 1-3,2024-11-25,0.958,0.928,0.977,0.869,1.01,2024-11-25 00:00:00
3,1,CMM,CMM 1-3,2024-12-02,0.805,0.861,0.927,0.643,4.68,2024-12-02 00:00:00
3,1,CMM,CMM 1-3,2024-12-09,0.827,0.929,0.962,0.739,4.15,2024-12-09 00:00:00
3,1,CMM,CMM 1-3,2024-12-16,0.816,0.826,0.991,0.668,4.42,2024-12-16 00:00:00
3,1,CMM,CMM 1-3,2024-12-23,0.91,0.875,0.922,0.734,2.16,2024-12-23 00:00:00
3,1,CMM,CMM 1-3,2024-12-30,0.843,0.781,0.992,0.653,3.77,2024-12-30 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-01-01,0.859,0.858,0.92,0.678,3.38,2024-01-01 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-01-08,0.825,0.858,0.976,0.691,4.2,2024-01-08 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-01-15,0.955,0.812,0.967,0.75,1.08,2024-01-15 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-01-22,0.894,0.777,0.995,0.691,2.54,2024-01-22 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-01-29,0.976,0.779,0.989,0.752,0.58,2024-01-29 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-02-05,0.965,0.813,0.953,0.748,0.84,2024-02-05 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-02-12,0.971,0.774,0.93,0.699,0.7,2024-02-12 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-02-19,0.958,0.895,0.973,0.834,1.01,2024-02-19 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-02-26,0.958,0.833,0.939,0.749,1.01,2024-02-26 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-03-04,0.88,0.937,0.985,0.812,2.88,2024-03-04 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-03-11,0.968,0.805,0.974,0.759,0.77,2024-03-11 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-03-18,0.819,0.787,0.972,0.627,4.34,2024-03-18 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-03-25,0.91,0.803,0.954,0.697,2.16,2024-03-25 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-04-01,0.842,0.796,0.965,0.647,3.79,2024-04-01 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-04-08,0.865,0.888,0.945,0.726,3.24,2024-04-08 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-04-15,0.89,0.871,0.968,0.75,2.64,2024-04-15 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-04-22,0.867,0.92,0.947,0.755,3.19,2024-04-22 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-04-29,0.825,0.789,0.903,0.588,4.2,2024-04-29 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-05-06,0.938,0.753,0.926,0.654,1.49,2024-05-06 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-05-13,0.874,0.898,0.994,0.78,3.02,2024-05-13 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-05-20,0.936,0.763,0.988,0.706,1.54,2024-05-20 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-05-27,0.977,0.923,0.947,0.854,0.55,2024-05-27 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-06-03,0.858,0.842,0.923,0.667,3.41,2024-06-03 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-06-10,0.873,0.758,0.97,0.642,3.05,2024-06-10 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-06-17,0.868,0.813,0.958,0.676,3.17,2024-06-17 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-06-24,0.934,0.869,0.95,0.771,1.58,2024-06-24 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-07-01,0.958,0.907,0.949,0.825,1.01,2024-07-01 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-07-08,0.881,0.915,0.904,0.729,2.86,2024-07-08 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-07-15,0.979,0.854,0.938,0.784,0.5,2024-07-15 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-07-22,0.932,0.862,0.949,0.762,1.63,2024-07-22 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-07-29,0.914,0.76,0.928,0.645,2.06,2024-07-29 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-08-05,0.872,0.811,0.979,0.692,3.07,2024-08-05 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-08-12,0.883,0.834,0.958,0.705,2.81,2024-08-12 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-08-19,0.81,0.853,0.914,0.632,4.56,2024-08-19 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-08-26,0.949,0.84,0.969,0.772,1.22,2024-08-26 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-09-02,0.82,0.906,0.989,0.735,4.32,2024-09-02 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-09-09,0.925,0.777,0.939,0.675,1.8,2024-09-09 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-09-16,0.881,0.786,0.956,0.662,2.86,2024-09-16 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-09-23,0.928,0.79,0.943,0.691,1.73,2024-09-23 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-09-30,0.845,0.888,0.986,0.74,3.72,2024-09-30 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-10-07,0.943,0.894,0.912,0.769,1.37,2024-10-07 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-10-14,0.821,0.84,0.934,0.644,4.3,2024-10-14 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-10-21,0.894,0.827,0.975,0.721,2.54,2024-10-21 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-10-28,0.892,0.94,0.936,0.785,2.59,2024-10-28 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-11-04,0.869,0.904,0.987,0.775,3.14,2024-11-04 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-11-11,0.902,0.882,0.914,0.727,2.35,2024-11-11 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-11-18,0.956,0.786,0.968,0.727,1.06,2024-11-18 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-11-25,0.876,0.812,0.973,0.692,2.98,2024-11-25 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-12-02,0.88,0.875,0.911,0.701,2.88,2024-12-02 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-12-09,0.824,0.791,0.959,0.625,4.22,2024-12-09 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-12-16,0.846,0.842,0.981,0.699,3.7,2024-12-16 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-12-23,0.898,0.751,0.984,0.664,2.45,2024-12-23 00:00:00
4,1,Packaging Machine,Packaging Machine 1-4,2024-12-30,0.843,0.868,0.945,0.691,3.77,2024-12-30 00:00:00
5,2,CMM,CMM 2-1,2024-01-01,0.814,0.87,0.923,0.654,4.46,2024-01-01 00:00:00
5,2,CMM,CMM 2-1,2024-01-08,0.899,0.874,0.953,0.749,2.42,2024-01-08 00:00:00
5,2,CMM,CMM 2-1,2024-01-15,0.949,0.76,0.914,0.659,1.22,2024-01-15 00:00:00
5,2,CMM,CMM 2-1,2024-01-22,0.918,0.757,0.981,0.682,1.97,2024-01-22 00:00:00
5,2,CMM,CMM 2-1,2024-01-29,0.92,0.918,0.928,0.784,1.92,2024-01-29 00:00:00
5,2,CMM,CMM 2-1,2024-02-05,0.966,0.76,0.94,0.69,0.82,2024-02-05 00:00:00
5,2,CMM,CMM 2-1,2024-02-12,0.832,0.884,0.958,0.705,4.03,2024-02-12 00:00:00
5,2,CMM,CMM 2-1,2024-02-19,0.924,0.869,0.975,0.783,1.82,2024-02-19 00:00:00
5,2,CMM,CMM 2-1,2024-02-26,0.832,0.841,0.955,0.668,4.03,2024-02-26 00:00:00
5,2,CMM,CMM 2-1,2024-03-04,0.968,0.769,0.928,0.691,0.77,2024-03-04 00:00:00
5,2,CMM,CMM 2-1,2024-03-11,0.866,0.826,0.906,0.648,3.22,2024-03-11 00:00:00
5,2,CMM,CMM 2-1,2024-03-18,0.877,0.86,0.928,0.7,2.95,2024-03-18 00:00:00
5,2,CMM,CMM 2-1,2024-03-25,0.824,0.889,0.926,0.678,4.22,2024-03-25 00:00:00
5,2,CMM,CMM 2-1,2024-04-01,0.895,0.855,0.966,0.739,2.52,2024-04-01 00:00:00
5,2,CMM,CMM 2-1,2024-04-08,0.91,0.772,0.969,0.681,2.16,2024-04-08 00:00:00
5,2,CMM,CMM 2-1,2024-04-15,0.913,0.947,0.946,0.818,2.09,2024-04-15 00:00:00
