Boeing Invoice #,Boeing Purchase Order #,Supplier Invoice #,Invoice Received Date,Invoice Gross Amt,Applied Disc Amt,Invoice Net Amt,Conversion Rate
640-A46-000343033,640-0K0000632,1478182,12/04/2025,1244.74,0.00,1244.74,
600-A76-001266650,NO PO INVOICE,3364139000,12/04/2025,-137.09,0.00,-137.09,
609-A46-001828979,609-001052486,1478758,12/05/2025,402.16,0.00,402.16,
611-A46-000001377,611-0Z0000445,1478248,12/05/2025,1925.04,0.00,1925.04,
613-A46-003625945,613-000640011,1478759,12/05/2025,689.96,0.00,689.96,
613-A46-003625946,613-000640025,1478760,12/05/2025,119.16,0.00,119.16,
613-A46-003625947,613-000640032,1478761,12/05/2025,879.30,0.00,879.30,
613-A46-003625948,613-000640046,1478762,12/05/2025,268.60,0.00,268.60,
613-A46-003625949,613-000640056,1478763,12/05/2025,326.96,0.00,326.96,
613-A46-003625950,613-000640068,1478764,12/05/2025,195.42,0.00,195.42,
613-A46-003625951,613-000640070,1478765,12/05/2025,200.60,0.00,200.60,
613-A46-003625952,613-000640077,1478766,12/05/2025,152.88,0.00,152.88,
613-A46-003625953,613-000640294,1478767,12/05/2025,294.93,0.00,294.93,
613-A46-003625954,613-000640546,1478768,12/05/2025,338.54,0.00,338.54,
613-A46-003625955,613-000640547,1478769,12/05/2025,336.88,0.00,336.88,
613-A46-003625956,613-000640586,1478770,12/05/2025,158.45,0.00,158.45,
613-A46-003625965,613-000641224,1478793,12/05/2025,1560.52,0.00,1560.52,
613-A46-003625957,613-000642205,1478771,12/05/2025,150.24,0.00,150.24,
613-A46-003625958,613-000643605,1478772,12/05/2025,821.82,0.00,821.82,
613-A46-003625959,613-000644529,1478773,12/05/2025,49.28,0.00,49.28,
613-A46-003625960,613-000644536,1478774,12/05/2025,275.76,0.00,275.76,
613-A46-003625961,613-000646656,1478775,12/05/2025,828.36,0.00,828.36,
613-A46-003625962,613-000647543,1478776,12/05/2025,80.26,0.00,80.26,
613-A46-003625963,613-000647844,1478777,12/05/2025,219.40,0.00,219.40,
613-A46-003625966,613-000669147,1478812,12/05/2025,240.88,0.00,240.88,
613-A46-003625944,613-000669197,1478444,12/05/2025,366.70,0.00,366.70,
623-A46-001862942,623-000110908,1478701,12/05/2025,909.16,0.00,909.16,
633-A46-004441679,633-001847337,1478702,12/05/2025,656.44,0.00,656.44,
637-A46-000997587,637-LG0002898,1478250,12/05/2025,1798.60,0.00,1798.60,
638-A46-001637853,638-L00107313,1478181,12/05/2025,3750.00,0.00,3750.00,
640-A46-000343035,640-000163810,1478493,12/05/2025,541.75,0.00,541.75,
640-A46-000343034,640-000165138,1478452,12/05/2025,73.02,0.00,73.02,
600-A76-001266651,NO PO INVOICE,3364620100,12/05/2025,-209.83,0.00,-209.83,
600-A76-001266653,NO PO INVOICE,3364620300,12/05/2025,-266.12,0.00,-266.12,
600-A76-001266652,NO PO INVOICE,3364620200,12/05/2025,-1480.12,0.00,-1480.12,
613-A46-003633148,613-000633734,1478853,12/06/2025,545.20,0.00,545.20,
613-A46-003633158,613-000639981,1478907,12/06/2025,4033.95,0.00,4033.95,
613-A46-003633157,613-000641045,1478883,12/06/2025,849.24,0.00,849.24,
613-A46-003633156,613-000641222,1478882,12/06/2025,1690.48,0.00,1690.48,
613-A46-003633149,613-000641513,1478854,12/06/2025,873.70,0.00,873.70,
613-A46-003633147,613-000647848,1478852,12/06/2025,730.50,0.00,730.50,
613-A46-003633150,613-000647850,1478855,12/06/2025,787.36,0.00,787.36,
613-A46-003633151,613-000659986,1478856,12/06/2025,1416.00,0.00,1416.00,
613-A46-003633154,613-0C0008051,1478859,12/06/2025,222.10,0.00,222.10,
621-A46-005982869,621-001343890,1478862,12/06/2025,758.30,0.00,758.30,
621-A46-005982870,621-0D0014050,1478863,12/06/2025,63.62,0.00,63.62,
633-A46-004441865,633-001838346,1478875,12/06/2025,4467.60,0.00,4467.60,
633-A46-004441866,633-001841438,1478908,12/06/2025,329.68,0.00,329.68,
648-A46-000413457,648-000015115,1478823,12/06/2025,2702.70,0.00,2702.70,
600-A76-001266654,NO PO INVOICE,3365181800,12/06/2025,-118.20,0.00,-118.20,
600-A76-001266655,NO PO INVOICE,3365181900,12/06/2025,-293.52,0.00,-293.52,
600-A76-001266656,NO PO INVOICE,3365182000,12/06/2025,-266.12,0.00,-266.12,
648-A46-000414132,648-000040338,1478808,12/07/2025,12240.90,0.00,12240.90,
604-A46-002196159,604-000161813,1479159,12/08/2025,206.28,0.00,206.28,
609-A46-001829082,609-001049292,1478847,12/08/2025,131.95,0.00,131.95,
609-A46-001829083,609-001050043,1478848,12/08/2025,494.00,0.00,494.00,
609-A46-001829086,609-001053309,1478851,12/08/2025,4259.20,0.00,4259.20,
609-A46-001830386,609-001061506,251207MA,12/08/2025,402.10,0.00,402.10,
609-A46-001830202,609-001061512,251207M,12/08/2025,143717.78,0.00,143717.78,
614-A46-015782638,614-000893220,251207BOLTBOARDS,12/08/2025,5467.50,0.00,5467.50,
618-A46-003918051,618-000369622,1478861,12/08/2025,530.80,0.00,530.80,
634-A46-000407510,634-000198995,1478450,12/08/2025,730.64,0.00,730.64,
609-A46-001829202,609-001052182,1478974,12/09/2025,854.19,0.00,854.19,
609-A46-001829204,609-0P0001610,1478976,12/09/2025,1120.92,0.00,1120.92,
613-A46-003633743,613-000647552,1478977,12/09/2025,475.59,0.00,475.59,
613-A46-003633744,613-000647881,1478978,12/09/2025,1449.00,0.00,1449.00,
633-A46-004442278,633-001824456,1478983,12/09/2025,1106.55,0.00,1106.55,
637-A46-000998061,637-LC0003560,1478466,12/09/2025,7643.00,0.00,7643.00,
648-A46-000416170,648-000024712,1479104,12/09/2025,26014.50,0.00,26014.50,
648-A46-000416169,648-000030872,1478846,12/09/2025,2173.60,0.00,2173.60,
648-A46-000416168,648-000030872,1478845,12/09/2025,2173.60,0.00,2173.60,
600-A76-001266661,NO PO INVOICE,3365976900,12/09/2025,-226.53,0.00,-226.53,
600-A76-001266658,NO PO INVOICE,3365976600,12/09/2025,-240.78,0.00,-240.78,
600-A76-001266660,NO PO INVOICE,3365976800,12/09/2025,-66.53,0.00,-66.53,
600-A76-001266663,NO PO INVOICE,3365977100,12/09/2025,-116.62,0.00,-116.62,
600-A76-001266667,NO PO INVOICE,3366451900,12/09/2025,-2749.20,0.00,-2749.20,
600-A76-001266665,NO PO INVOICE,3365977300,12/09/2025,-2419.20,0.00,-2419.20,
600-A76-001266659,NO PO INVOICE,3365976700,12/09/2025,-591.38,0.00,-591.38,
600-A76-001266666,NO PO INVOICE,3365977400,12/09/2025,-1077.60,0.00,-1077.60,
600-A76-001266662,NO PO INVOICE,3365977000,12/09/2025,-244.71,0.00,-244.71,
600-A76-001266664,NO PO INVOICE,3365977200,12/09/2025,-444.29,0.00,-444.29,
600-A76-001266657,NO PO INVOICE,3365976500,12/09/2025,-274.68,0.00,-274.68,
613-A46-003634088,613-000640006,1479279,12/10/2025,913.80,0.00,913.80,
613-A46-003634084,613-000640571,1479225,12/10/2025,1142.44,0.00,1142.44,
613-A46-003634085,613-000640584,1479226,12/10/2025,211.28,0.00,211.28,
613-A46-003634086,613-000640834,1479227,12/10/2025,21.72,0.00,21.72,
613-A46-003634087,613-000643599,1479228,12/10/2025,352.60,0.00,352.60,
613-A46-003634089,613-000644370,1479285,12/10/2025,1144.50,0.00,1144.50,
613-A46-003634082,613-000647842,1479219,12/10/2025,1149.24,0.00,1149.24,
621-A46-005984190,621-001343787,1479229,12/10/2025,193.17,0.00,193.17,
621-A46-005985247,621-001343888,1479326,12/10/2025,1409.07,0.00,1409.07,
600-A76-001266670,NO PO INVOICE,3366528800,12/10/2025,-371.96,0.00,-371.96,
600-A76-001266675,NO PO INVOICE,3366529300,12/10/2025,-10337.28,0.00,-10337.28,
600-A76-001266671,NO PO INVOICE,3366528900,12/10/2025,-4598.82,0.00,-4598.82,
600-A76-001266673,NO PO INVOICE,3366529100,12/10/2025,-4531.74,0.00,-4531.74,
600-A76-001266672,NO PO INVOICE,3366529000,12/10/2025,-14213.76,0.00,-14213.76,
600-A76-001266669,NO PO INVOICE,3366528700,12/10/2025,-664.13,0.00,-664.13,
600-A76-001266674,NO PO INVOICE,3366529200,12/10/2025,-3046.65,0.00,-3046.65,
600-A76-001266668,NO PO INVOICE,3366528600,12/10/2025,-250.36,0.00,-250.36,
600-A76-001266676,NO PO INVOICE,3366529400,12/10/2025,-344.92,0.00,-344.92,
609-A46-001830695,609-0J0004126,002771745,01/07/2026,-201.08,0.00,-201.08,
