Boeing Invoice #,Boeing Purchase Order #,Supplier Invoice #,Invoice Received Date,Invoice Gross Amt,Applied Disc Amt,Invoice Net Amt,Conversion Rate,,,,,
609-A46-001825383,609-001048791,1473148,45943,719.61,0.00,719.61,0.00,,,,,
609-A46-001825386,609-001050051,1473151,45943,124.10,0.00,124.10,0.00,,,,,
609-A46-001825873,609-001061503,251012AX,45943,10955.85,0.00,10955.85,0.00,,,,,
609-A46-001825823,609-001061506,251012MA,45943,600.78,0.00,600.78,0.00,,,,,
609-A46-001825822,609-001061512,251012M,45943,159082.57,0.00,159082.57,0.00,,,,,
614-A46-015779754,614-000893220,251012BOLTBOARDS,45943,9693.00,0.00,9693.00,0.00,,,,,
621-A46-005953645,621-001376165,1454835,45943,2500.00,0.00,2500.00,0.00,,,,,
633-A46-004430744,633-001834531,1473064,45943,619.50,0.00,619.50,0.00,,,,,
648-A46-000362971,648-0X0000378,1473387,45943,3005.92,0.00,3005.92,0.00,,,,,
609-A46-001825479,609-001044041,1473315,45944,312.44,0.00,312.44,0.00,,,,,
613-A46-003603829,613-000608527,1473392,45944,218.94,0.00,218.94,0.00,,,,,
613-A46-003603817,613-000640007,1473316,45944,560.22,0.00,560.22,0.00,,,,,
613-A46-003603818,613-000640045,1473317,45944,466.96,0.00,466.96,0.00,,,,,
613-A46-003603819,613-000640993,1473318,45944,889.58,0.00,889.58,0.00,,,,,
613-A46-003603828,613-000641046,1473390,45944,1919.88,0.00,1919.88,0.00,,,,,
613-A46-003603821,613-000642996,1473320,45944,457.00,0.00,457.00,0.00,,,,,
613-A46-003603822,613-000643572,1473321,45944,351.56,0.00,351.56,0.00,,,,,
613-A46-003603823,613-000644543,1473322,45944,269.84,0.00,269.84,0.00,,,,,
613-A46-003603824,613-000644545,1473323,45944,223.72,0.00,223.72,0.00,,,,,
613-A46-003603825,613-000661182,1473324,45944,385.20,0.00,385.20,0.00,,,,,
613-A46-003603826,613-000661234,1473325,45944,8928.00,0.00,8928.00,0.00,,,,,
613-A46-003603827,613-0C0008001,1473389,45944,1063.00,0.00,1063.00,0.00,,,,,
621-A46-005952573,621-001293200,1473384,45944,5491.72,0.00,5491.72,0.00,,,,,
621-A46-005952570,621-001321399,1473238,45944,1936.51,0.00,1936.51,0.00,,,,,
621-A46-005952571,621-001321399,1473239,45944,1936.51,0.00,1936.51,0.00,,,,,
621-A46-005952572,621-001343809,1473261,45944,1625.34,0.00,1625.34,0.00,,,,,
621-A46-005952569,621-001376165,1473220,45944,3285.78,0.00,3285.78,0.00,,,,,
621-A46-005952568,621-0D0014171,1473162,45944,3126.48,0.00,3126.48,0.00,,,,,
621-A46-005952574,621-0P0012602,1473391,45944,4500.00,0.00,4500.00,0.00,,,,,
626-A46-002297211,626-0V0053719,1454999,45944,4715.00,0.00,4715.00,0.00,,,,,
626-A46-002296989,626-0V0053719,1473399,45944,743.19,0.00,743.19,0.00,,,,,
633-A46-004431003,633-001804705,1473063,45944,372.08,0.00,372.08,0.00,,,,,
634-A46-000400713,634-000195121,1473385,45944,450.40,0.00,450.40,0.00,,,,,
634-A46-000400714,634-000196344,1473386,45944,2432.16,0.00,2432.16,0.00,,,,,
600-A76-001260829,NO PO INVOICE,3342367700,45944,-232.49,0.00,-232.49,0.00,,,,,
600-A76-001260830,NO PO INVOICE,3342367800,45944,-71.45,0.00,-71.45,0.00,,,,,
600-A76-001260828,NO PO INVOICE,3342367600,45944,-163.61,0.00,-163.61,0.00,,,,,
600-A76-001260827,NO PO INVOICE,3342367500,45944,-275.93,0.00,-275.93,0.00,,,,,
600-A76-001260831,NO PO INVOICE,3342367900,45944,-49.48,0.00,-49.48,0.00,,,,,
600-A76-001260832,NO PO INVOICE,3342368000,45944,-1923.44,0.00,-1923.44,0.00,,,,,
611-A46-000001092,611-0Z0000438,1472537,45945,9884.52,0.00,9884.52,0.00,,,,,
613-A46-003604284,613-000640553,1473456,45945,669.04,0.00,669.04,0.00,,,,,
613-A46-003604277,613-000640568,1472457,45945,185.88,0.00,185.88,0.00,,,,,
613-A46-003604285,613-000640585,1473458,45945,147.44,0.00,147.44,0.00,,,,,
613-A46-003604286,613-000640586,1473459,45945,190.14,0.00,190.14,0.00,,,,,
613-A46-003604287,613-000640830,1473460,45945,112.54,0.00,112.54,0.00,,,,,
613-A46-003604288,613-000640833,1473461,45945,102.09,0.00,102.09,0.00,,,,,
613-A46-003604289,613-000640836,1473462,45945,254.12,0.00,254.12,0.00,,,,,
613-A46-003604290,613-000641228,1473463,45945,79.14,0.00,79.14,0.00,,,,,
613-A46-003604291,613-000641236,1473464,45945,368.25,0.00,368.25,0.00,,,,,
613-A46-003604281,613-000647540,1473453,45945,3268.00,0.00,3268.00,0.00,,,,,
613-A46-003604294,613-000647843,1473541,45945,848.72,0.00,848.72,0.00,,,,,
613-A46-003604278,613-0C0008006,1473326,45945,1293.45,0.00,1293.45,0.00,,,,,
621-A46-005953134,621-001293199,1473521,45945,5491.72,0.00,5491.72,0.00,,,,,
621-A46-005953133,621-001343765,1473331,45945,298.86,0.00,298.86,0.00,,,,,
621-A46-005953135,621-001347738,1473525,45945,9660.75,0.00,9660.75,0.00,,,,,
621-A46-005953136,621-001368270,1473526,45945,3532.32,0.00,3532.32,0.00,,,,,
621-A46-005953131,621-001377522,1473311,45945,1268.16,0.00,1268.16,0.00,,,,,
621-A46-005953132,621-001377525,1473312,45945,1146.99,0.00,1146.99,0.00,,,,,
633-A46-004431186,633-001838086,1473388,45945,572.25,0.00,572.25,0.00,,,,,
640-A46-000339942,640-000165135,1455146,45945,1100.00,0.00,1100.00,0.00,,,,,
648-A46-000365042,648-000024704,1473561,45945,4602.00,0.00,4602.00,0.00,,,,,
